location,state,year,lat,long,fund_source,fund_type,Length (ft),volume,Actual Cost,2013 CF$,cost_2013,$/CY,CY/Foot
Emerald Isle Point,NC,1999,34.645027,-77.097867,Federal,Navigation,0.00,48000.00,0.00,0.72,0.00,0.00,#DIV/0!
Figure Eight Island - South End,NC,1999,34.252534,-77.758791,Private,Navigation,9000.00,785000.00,0.00,0.72,0.00,0.00,87.22
Galveston Island (Eastern half),TX,1999,29.235107,-94.882618,Unknown,Unknown,20000.00,70000.00,0.00,0.72,0.00,0.00,3.50
Gulfport,MS,1999,30.36784,-89.083543,Unknown,Unknown,0.00,0.00,0.00,0.72,0.00,#DIV/0!,#DIV/0!
Hilton Head,SC,1999,32.132304,-80.768738,Local,Unknown,4224.00,245000.00,1200000.00,0.72,1678321.68,4.90,58.00
"Hueneme Beach Park, Port Hueneme, Ventura County",CA,1999,34.141859,-119.197197,Unknown,Shore Protection,0.00,6900000.00,0.00,0.72,0.00,0.00,#DIV/0!
Isles Dernieres Restoration Trinity and East Islands (TE-20 and 24),LA,1999,29.04696,-90.812495,Federal,Ecosystem Restoration,39600.00,0.00,19460000.00,0.72,27216783.22,#DIV/0!,0.00
Long Beach,MA,1999,42.628481,-70.618937,Local,Unknown,0.00,0.00,0.00,0.72,0.00,0.00,#DIV/0!
"Long Beach, Los Angeles County",CA,1999,33.761239,-118.158517,Local,Shore Protection,2500.00,100000.00,0.00,0.72,0.00,0.00,40.00
Manatee County/Sarasota County: Longboat Key,FL,1999,27.411776,-82.660484,Unknown,Unknown,0.00,0.00,87760.00,0.72,122741.26,#DIV/0!,#DIV/0!
"McGrath State Beach Park, Ventura County",CA,1999,34.226393,-119.2623327,Unknown,Navigation,0.00,500000.00,0.00,0.72,0.00,0.00,#DIV/0!
Miami-Dade County: Bal Harbour-Surfside-Miami Beach,FL,1999,25.878888,-80.120158,Unknown,Unknown,5280.00,627700.00,0.00,0.72,0.00,0.00,118.88
Miami-Dade County: Bal Harbour-Surfside-Miami Beach,FL,1999,25.878888,-80.120158,Unknown,Unknown,1584.00,211500.00,0.00,0.72,0.00,0.00,133.52
Miami-Dade County: Haulover Park,FL,1999,25.912041,-80.121231,Federal,Unknown,6969.00,0.00,8315837.00,0.72,11630541.26,#DIV/0!,0.00
Miami-Dade County: Surfside/South Miami Beach,FL,1999,25.876905,-80.120062,Federal,Unknown,7000.00,839175.00,13385000.00,0.72,18720279.72,15.95,119.88
North Indian River Inlet,DE,1999,38.606274,-75.061169,Federal,Section 111,3500.00,100000.00,0.00,0.72,0.00,0.00,28.57
Pawley's Island,SC,1999,33.432811,-79.119024,State,Unknown,13200.00,270000.00,1300000.00,0.72,1818181.82,4.81,20.45
Pea Island,NC,1999,35.727144,-75.496674,Federal,Navigation,0.00,328919.00,545515.00,0.72,762958.04,1.66,#DIV/0!
Pinellas County: Sand Key/Clearwater to North Redington Beach (Phase IV),FL,1999,27.93997,-82.83965,Federal,Shore Protection,45936.00,2600000.00,24000000.00,0.72,33566433.57,9.23,56.60
Pirate's Beach,TX,1999,29.203148,-94.935747,Unknown,Unknown,7785.00,19500.00,0.00,0.72,0.00,0.00,2.50
Rollover Pass,TX,1999,29.507633,-94.498773,Federal,Unknown,0.00,174591.00,0.00,0.72,0.00,0.00,#DIV/0!
Sandy Hook to Barnegat Inlet: Belmar - Manasquan,NJ,1999,40.150144,-74.022303,Federal,Shore Protection,31152.00,4100000.00,44615384.00,0.72,62399138.46,10.88,131.61
Sandy Hook to Barnegat Inlet: Long Branch,NJ,1999,40.303225,-73.978014,Federal,Shore Protection,17423.00,4300000.00,45454545.00,0.72,63572790.21,10.57,246.80
Shamrock Island (Eastern Corpus Christi Bay),TX,1999,27.745056,-97.158644,Unknown,Unknown,4000.00,90000.00,750000.00,0.72,1048951.05,8.33,22.50
South Padre Island (2 miles north of Brazos Santiago Pass),TX,1999,26.07097,-97.155576,Federal,Navigation,0.00,494766.00,55000.00,0.72,76923.08,0.11,#DIV/0!
"South Padre Island (Park Road 100, Cameron County)",TX,1999,26.155284,-97.170939,State,Shore Protection,2000.00,41628.00,25000.00,0.72,34965.03,0.60,20.81
St. Lucie County: Ft. Pierce Beach,FL,1999,27.441207,-80.32097,Federal,Unknown,6864.00,908000.00,6200000.00,0.72,8671328.67,6.83,132.28
Blake Island State Park,WA,2000,47.542932,-122.504597,Unknown,Unknown,600.00,3500.00,18000.00,0.74,24357.24,5.14,5.83
Caplen Shores/Caplen Beach Subdivision,TX,2000,29.490002,-94.544156,Unknown,Unknown,3000.00,138400.00,0.00,0.74,0.00,0.00,46.13
City of San Fransisco,CA,2000,37.759375,-122.510806,State,Unknown,0.00,7000.00,450000.00,0.74,608930.99,64.29,#DIV/0!
Dauphin Island    ,AL,2000,30.249577,-88.173866,Federal,Emergency,13000.00,300000.00,1000000.00,0.74,1353179.97,3.33,23.08
"East Timbalier Island Sediment Restoration, Phase 1 (TE-25)",LA,2000,29.06608,-90.32357,Federal,Ecosystem Restoration,12000.00,1004000.00,2158600.00,0.74,2920974.29,2.15,83.67
"East Timbalier Island Sediment Restoration, Phase 2 (TE-30)",LA,2000,29.069383,-90.31565,Federal,Ecosystem Restoration,7000.00,1692276.00,3638393.00,0.74,4923400.54,2.15,241.75
Emerald Isle Point,NC,2000,34.645027,-77.097867,Federal,Navigation,0.00,16000.00,0.00,0.74,0.00,0.00,#DIV/0!
Emerald Isle Point,NC,2000,34.645027,-77.097867,Federal,Navigation,0.00,16000.00,0.00,0.74,0.00,0.00,#DIV/0!
Folly Beach Spit,SC,2000,32.6504324,-79.96338,Federal,Navigation,1000.00,49000.00,228000.00,0.74,308525.03,4.65,49.00
Galveston Island (Eastern half),TX,2000,29.235107,-94.882618,Unknown,Unknown,20000.00,70000.00,0.00,0.74,0.00,0.00,3.50
Gilchrist East Subdivision,TX,2000,29.510396,-94.491777,Unknown,Unknown,5280.00,297474.00,1549115.00,0.74,2096231.39,5.21,56.34
Gilchrist East Subdivision,TX,2000,29.510396,-94.491777,Unknown,Unknown,17640.00,44100.00,0.00,0.74,0.00,0.00,2.50
Gilgo Beach,NY,2000,40.617373,-73.397169,Federal,Navigation,0.00,913000.00,8441650.00,0.74,11423071.72,9.25,#DIV/0!
"Hueneme Beach Park, Port Hueneme, Ventura County",CA,2000,34.141859,-119.197197,Unknown,Unknown,0.00,630000.00,0.00,0.74,0.00,0.00,#DIV/0!
Lee County: South of Matanzas,FL,2000,29.710569,-81.233854,Federal,Navigation,8000.00,765000.00,4276350.00,0.74,5786671.18,5.59,95.63
"Long Beach, Los Angeles County",CA,2000,33.761239,-118.158517,Local,Shore Protection,2500.00,60000.00,0.00,0.74,0.00,0.00,24.00
Monroe County,FL,2000,24.915864,-80.632524,Federal,Unknown,2481.00,0.00,1010208.00,0.74,1366993.23,#DIV/0!,0.00
Monroe County,FL,2000,24.812437,-80.819796,Federal,Unknown,422.00,0.00,212025.00,0.74,286907.98,#DIV/0!,0.00
Monroe County: Key West/Smathers Beach,FL,2000,24.551841,-81.769303,State,Unknown,3000.00,36000.00,719963.00,0.74,974239.51,20.00,12.00
North Indian River Inlet,DE,2000,38.606274,-75.061169,Federal,Section 111,3500.00,100000.00,0.00,0.74,0.00,0.00,28.57
Ocean City,NJ,2000,39.264158,-74.589958,Federal,Shore Protection,12500.00,1351000.00,6943000.00,0.74,9395128.55,5.14,108.08
Pea Island,NC,2000,35.727144,-75.496674,Federal,Navigation,0.00,419305.00,1228564.00,0.74,1662468.20,2.93,#DIV/0!
Pinellas County: Honeymoon Island,FL,2000,28.069633,-82.835004,State,Navigation,2000.00,12500.00,,0.74,0.00,0.00,6.25
Pinellas County: Long Key/Upham Beach,FL,2000,27.736415,-82.753655,Federal,Shore Protection,2112.00,281000.00,,0.74,0.00,,
Pinellas County: Treasure Island/Sunset Beach,FL,2000,27.749268,-82.762831,Federal,Shore Protection,8448.00,350000.00,1500000.00,0.74,2029769.96,4.29,41.43
"Redondo Beach, Los Angeles County",CA,2000,33.854094,-118.399572,Local,Unknown,0.00,230000.00,0.00,0.74,0.00,0.00,#DIV/0!
Rollover Pass Beach,TX,2000,29.506923,-94.500725,Federal,Unknown,0.00,0.00,418382.00,0.74,566146.14,#DIV/0!,#DIV/0!
Seascape Condominiums and Dellanera R. V. Park,TX,2000,26.124232,-97.166562,Unknown,Unknown,1585.00,4000.00,0.00,0.74,0.00,0.00,2.52
South Bowers,DE,2000,39.061533,-75.39696,State,Unknown,800.00,2500.00,0.00,0.74,0.00,0.00,3.13
St. Johns County: Anastasia State Park/ St.Augustine,FL,2000,29.896727,-81.275718,Federal,Navigation,3200.00,200000.00,950000.00,0.74,1285520.97,4.75,62.50
St. Johns County: St. Augustine Beach,FL,2000,29.845167,-81.264732,Federal,Navigation,52800.00,3200000.00,16000000.00,0.74,21650879.57,5.00,60.61
Staten Island,NY,2000,40.557162,-74.102032,Federal,Shore Protection,0.00,0.00,3000000.00,0.74,4059539.92,#DIV/0!,#DIV/0!
Tybee Island,GA,2000,31.999851,-80.842209,Federal,Shore Protection,2482.00,0.00,576000.00,0.74,779431.66,#DIV/0!,0.00
Wells and Drakes Island,ME,2000,43.324116,-70.551195,Federal,Navigation,0.00,10000.00,100000.00,0.74,135318.00,10.00,#DIV/0!
Agua Hedionda Lagoon,CA,2001,33.142818,-117.342201,County,Bypass,0.00,429000.00,0.00,0.76,0.00,0.00,#DIV/0!
Batiquitos,CA,2001,33.084654,-117.312599,Federal,Shore Protection,1500.00,117000.00,0.00,0.76,0.00,0.00,78.00
Bermuda Beach Subdivision,TX,2001,29.214096,-94.917047,State,Unknown,3110.00,15900.00,200000.00,0.76,263157.89,12.58,5.11
Brevard County: North Reach,FL,2001,28.36784,-80.602083,Federal,Shore Protection,49632.00,3204900.00,22628432.00,0.76,29774252.63,7.06,64.57
Brevard County: Patrick Air Force Base,FL,2001,28.238729,-80.600921,Federal,Shore Protection,15840.00,598000.00,500000.00,0.76,657894.74,0.84,37.75
Brigantine,NJ,2001,39.405826,-74.362421,Federal,Emergency,2700.00,615000.00,0.00,0.76,0.00,0.00,227.78
Caplen Shores/Caplen Beach Subdivision,TX,2001,29.490002,-94.544156,Unknown,Unknown,5730.00,70000.00,756000.00,0.76,994736.84,10.80,12.22
Caplen Shores/Caplen Beach Subdivision,TX,2001,29.490002,-94.544156,Unknown,Unknown,3000.00,126000.00,0.00,0.76,0.00,0.00,42.00
Cardiff,CA,2001,33.028395,-117.288709,Federal,Shore Protection,900.00,101000.00,0.00,0.76,0.00,0.00,112.22
"Carlsbad State Beach Park, San Diego County",CA,2001,33.14769,-117.345159,Federal,Shore Protection,5100.00,383000.00,0.00,0.76,0.00,0.00,75.10
Carolina Beach    ,NC,2001,34.038772,-77.888904,Federal,Shore Protection,0.00,1204646.00,2964355.00,0.76,3900467.11,2.46,#DIV/0!
Caswell Beach,NC,2001,33.896008,-78.051102,Federal,Navigation,25000.00,1292000.00,6000000.00,0.76,7894736.84,4.64,51.68
Corpus Christi (Nueces County),TX,2001,27.821988,-97.386417,State,Unknown,1100.00,125000.00,2269000.00,0.76,2985526.32,18.15,113.64
"Del Mar, San Diego County",CA,2001,32.959598,-117.268388,Federal,Shore Protection,3200.00,183000.00,0.00,0.76,0.00,0.00,57.19
Fletcher Cove,CA,2001,32.991088,-117.274672,Federal,Shore Protection,1900.00,146000.00,0.00,0.76,0.00,0.00,76.84
Galveston Island (West end of seawall),TX,2001,29.266784,-94.824929,State,Ecosystem Restoration,0.00,0.00,500000.00,0.76,657894.74,#DIV/0!,#DIV/0!
Gilchrist-Caplen Beach,TX,2001,29.498538,-94.522655,State,Shore Protection,5280.00,300000.00,1386250.00,0.76,1824013.16,4.62,56.82
Gulf Shores,AL,2001,30.244832,-87.698708,Local,Shore Protection,16000.00,1800000.00,6000000.00,0.76,7894736.84,3.33,112.50
Harrison County,MS,2001,30.385167,-89.012775,Federal,Shore Protection,123031.00,1200000.00,6000000.00,0.76,7894736.84,5.00,9.75
Holden Beach    ,NC,2001,33.908890,-78.310204,State,Navigation,10600.00,660000.00,5808000.00,0.76,7642105.26,8.80,62.26
Holden Beach    ,NC,2001,33.908890,-78.310204,Local,Unknown,0.00,165000.00,0.00,0.76,0.00,0.00,#DIV/0!
"Imperial Beach, San Diego County",CA,2001,32.582186,-117.13269,Federal,Shore Protection,2300.00,120000.00,,0.76,0.00,0.00,52.17
Indianola Beach (Calhoun County),TX,2001,28.512133,-96.486944,State,Shore Protection,0.00,0.00,125471.00,0.76,165093.42,#DIV/0!,#DIV/0!
Kure Beach,NC,2001,33.995750,-77.906199,Federal,Shore Protection,18000.00,1200000.00,4500000.00,0.76,5921052.63,3.75,66.67
Leucadia,CA,2001,33.068079,-117.307008,Federal,Shore Protection,2700.00,132000.00,0.00,0.76,0.00,0.00,48.89
"Long Beach, Los Angeles County",CA,2001,33.761239,-118.158517,Local,Shore Protection,2500.00,100000.00,0.00,0.76,0.00,0.00,40.00
Lower Cape May Meadows – Cape May Point,NJ,2001,38.931948,-74.965845,Federal,Shore Protection,1200.00,30000.00,0.00,0.76,0.00,0.00,25.00
Ludlum Beach Island: Strathmere,NJ,2001,39.194613,-74.657435,State,Shore Protection,4500.00,506139.00,0.00,0.76,0.00,0.00,112.48
Manatee County/Sarasota County: Longboat Key,FL,2001,27.411776,-82.660484,Federal,Emergency,3696.00,105280.00,0.00,0.76,0.00,0.00,28.48
Martin County,FL,2001,27.256737,-80.196891,Local,Unknown,19800.00,1100000.00,7935000.00,0.76,10440789.47,7.21,55.56
Miami-Dade County: Sunny Isles/Miami Beach,FL,2001,25.790966,-80.127196,Federal,Unknown,15700.00,835000.00,18212000.00,0.76,23963157.89,21.81,53.18
"Mission Beach, San Diego County",CA,2001,32.776631,-117.253432,Federal,Unknown,2300.00,151000.00,0.00,0.76,0.00,0.00,65.65
Moonlight Beach,CA,2001,33.047933,-117.298624,Federal,Shore Protection,1100.00,105000.00,0.00,0.76,0.00,0.00,95.45
Nassau County: Amelia Island,FL,2001,30.619762,-81.43914,State,Unknown,17952.00,1900000.00,0.00,0.76,0.00,0.00,105.84
North Indian River Inlet,DE,2001,38.606274,-75.061169,Federal,Section 111,3500.00,100000.00,0.00,0.76,0.00,0.00,28.57
Oak Island,NC,2001,33.908570,-78.110991,Federal,Ecosystem Restoration,12100.00,1340000.00,12572000.00,0.76,16542105.26,9.38,110.74
Oak Island,NC,2001,33.908570,-78.110991,Federal,Navigation,25600.00,1325000.00,11925000.00,0.76,15690789.47,9.00,51.76
Ocean Isle Beach,NC,2001,33.890044,-78.422899,Federal,Shore Protection,17160.00,1952600.00,8185714.00,0.76,10770676.32,4.19,113.79
"Oceanside City Beach, San Diego County",CA,2001,33.195173,-117.385526,Federal,Shore Protection,4400.00,421000.00,0.00,0.76,0.00,0.00,95.68
Palm Beach County: Juno Beach,FL,2001,26.879895,-80.052459,State,Unknown,12672.00,1000000.00,11100000.00,0.76,14605263.16,11.10,78.91
Pea Island,NC,2001,35.727144,-75.496674,Federal,Navigation,0.00,513706.00,2568530.00,0.76,3379644.74,5.00,#DIV/0!
Pointe San Luis Subdivision,TX,2001,29.266784,-94.824929,State,Unknown,1310.00,13300.00,90000.00,0.76,118421.05,6.77,10.15
Rockaway Beach,NY,2001,40.585221,-73.806914,Federal,Navigation,0.00,1250758.00,5698348.00,0.76,7497826.32,4.56,0.00
Rockaway Beach,NY,2001,40.585221,-73.806914,Federal,Shore Protection,32736.00,1000000.00,24100000.00,0.76,31710526.32,24.10,30.55
Rollover Pass Beach,TX,2001,29.506923,-94.500725,Federal,Unknown,0.00,0.00,1158448.00,0.76,1524273.68,#DIV/0!,#DIV/0!
Sandy Hook to Barnegat Inlet: Asbury Park,NJ,2001,40.210737,-74.002733,Federal,Shore Protection,16368.00,3100000.00,36923076.00,0.76,48582994.74,11.91,189.39
Sarasota County: Lido Key,FL,2001,27.31009,-82.576313,Unknown,Unknown,7181.00,360000.00,0.00,0.76,0.00,0.00,50.13
Sarasota County: Sarasota-Lido Key,FL,2001,27.307132,-82.574208,Unknown,Unknown,5122.00,400000.00,0.00,0.76,0.00,0.00,78.09
Sea Isle Subdivision,TX,2001,29.140055,-95.04015,State,Unknown,4220.00,10100.00,90000.00,0.76,118421.05,8.91,2.39
South Padre Island,TX,2001,26.112402,-97.164567,Federal,Shore Protection,0.00,0.00,2650015.00,0.76,3486861.84,#DIV/0!,#DIV/0!
"South Padre Island (Park Road 100, Cameron County)",TX,2001,26.155284,-97.170939,State,Shore Protection,2000.00,55000.00,300000.00,0.76,394736.84,5.45,27.50
Spanish Grant Subdivision,TX,2001,29.230463,-94.890375,State,Unknown,1725.00,5900.00,75000.00,0.76,98684.21,12.71,3.42
Surfside Beach,TX,2001,28.944988,-95.289772,Unknown,Unknown,5280.00,0.00,355754.00,0.76,468097.37,#DIV/0!,0.00
"Surfside/Sunset Beach, Orange County",CA,2001,33.718895,-118.075089,Federal,Shore Protection,0.00,1800000.00,0.00,0.76,0.00,0.00,#DIV/0!
Terramar Subdivision,TX,2001,29.130721,-95.054913,State,Unknown,2850.00,19900.00,78175.00,0.76,102861.84,3.93,6.98
Torrey Pines,CA,2001,32.931705,-117.260473,Federal,Shore Protection,1600.00,245000.00,0.00,0.76,0.00,0.00,153.13
West Beach Grand Riviera I & II Condominiums,TX,2001,29.223034,-94.902351,State,Unknown,465.00,1100.00,0.00,0.76,0.00,0.00,2.37
Westhampton Beach  ,NY,2001,40.794643,-72.639198,Federal,Shore Protection,0.00,0.00,7692307.00,0.76,10121456.58,#DIV/0!,#DIV/0!
Assateague Island,MD,2002,38.091337,-75.198026,Federal,Unknown,29568.00,2537695.00,9675000.00,0.77,12532383.42,3.81,85.83
Atlantic Beach/Fort Macon,NC,2002,34.694626,-76.705685,Federal,Navigation,0.00,209348.00,0.00,0.77,0.00,0.00,#DIV/0!
Atlantic Highlands,NJ,2002,40.441558,-74.098799,State,Unknown,0.00,22000.00,0.00,0.77,0.00,0.00,#DIV/0!
Bald Head Island,NC,2002,33.855876,-77.999067,Federal,Navigation,16000.00,1840000.00,3285000.00,0.77,4255181.35,1.79,115.00
Benson Beach,WA,2002,46.354274,-124.06414,Federal,Unknown,0.00,43000.00,1025000.00,0.77,1327720.21,23.84,#DIV/0!
Brevard County: South Reach/Indialantic,FL,2002,28.080008,-80.560856,Federal,Shore Protection,15840.00,1250000.00,7330662.00,0.77,9495676.17,5.86,78.91
Caplen Shores/Caplen Beach Subdivision,TX,2002,29.490002,-94.544156,Unknown,Unknown,3000.00,119000.00,0.00,0.77,0.00,0.00,39.67
Figure Eight Island - South End,NC,2002,34.252534,-77.758791,Private,Navigation,0.00,500572.00,2753146.00,0.77,3566251.30,5.50,#DIV/0!
Gilgo Beach,NY,2002,40.617373,-73.397169,Federal,Navigation,0.00,1444831.00,0.00,0.77,0.00,0.00,#DIV/0!
Holden Beach,NC,2002,33.908890,-78.310204,Local,Unknown,0.00,200000.00,0.00,0.77,0.00,0.00,#DIV/0!
Indian Beach/Salter Path,NC,2002,34.686551,-76.895218,Local,Shore Protection,15840.00,456000.00,1890000.00,0.77,2448186.53,4.14,28.79
Lee County: Captiva Island,FL,2002,26.527581,-82.194493,State,Unknown,25344.00,817300.00,0.00,0.77,0.00,0.00,32.25
Manatee County: Anna Maria Key,FL,2002,27.523395,-82.73498,County,Shore Protection,3000.00,0.00,0.00,0.77,0.00,#DIV/0!,0.00
Manatee County: Anna Maria Key,FL,2002,27.487539,-82.707858,Federal,Shore Protection,27456.00,2320000.00,8390300.00,0.77,10868264.25,3.62,84.50
Martin County,FL,2002,27.256737,-80.196891,State,Unknown,3010.00,125576.00,300000.00,0.77,388601.04,2.39,41.72
Martin County: Jupiter Island,FL,2002,27.032179,-80.09943,State,Unknown,31152.00,3000000.00,1561023.00,0.77,2022050.52,0.52,96.30
Martin County: Jupiter/Carlin Beach,FL,2002,26.931387,-80.068445,Federal,Unknown,5580.00,634000.00,4600000.00,0.77,5958549.22,7.26,113.62
Miami-Dade County: Key Biscayne,FL,2002,25.693228,-80.156615,State,Unknown,6336.00,300000.00,1097500.00,0.77,1421632.12,3.66,47.35
Nassau County: S. Amelia Island,FL,2002,30.615321,-81.4401,State,Unknown,17424.00,177000.00,8000000.00,0.77,10362694.30,45.20,10.16
North Indian River Inlet,DE,2002,38.606274,-75.061169,Federal,Section 111,3500.00,100000.00,0.00,0.77,0.00,0.00,28.57
North Topsail Beach,NC,2002,34.524308,-77.347054,Federal,Navigation,0.00,280000.00,0.00,0.77,0.00,0.00,#DIV/0!
Ocean City   ,MD,2002,38.38392,-75.06237,Federal,Unknown,0.00,700000.00,4559666.00,0.77,5906303.11,6.51,0.00
Palm Beach County: Boca Raton South,FL,2002,26.354421,-80.069046,State,Unknown,4752.00,342000.00,0.00,0.77,0.00,0.00,71.97
Palm Beach County: Delray Beach,FL,2002,26.462092,-80.057373,State,Unknown,8976.00,1150000.00,3882210.00,0.77,5028769.43,3.38,128.12
Palm Beach County: South Boca Raton Beach,FL,2002,26.354623,-80.069153,State,Unknown,5808.00,300000.00,791257.00,0.77,1024944.30,2.64,51.65
Pea Island,NC,2002,35.727144,-75.496674,Federal,Navigation,0.00,732852.00,2822329.00,0.77,3655866.58,3.85,#DIV/0!
Perdido Key,AL,2002,30.272114,-87.560306,Federal,Navigation,0.00,300000.00,0.00,0.77,0.00,0.00,#DIV/0!
Pickering Beach,DE,2002,39.137284,-75.409094,State,Unknown,2400.00,37500.00,0.00,0.77,0.00,0.00,15.63
Pine Knoll Shores,NC,2002,34.693921,-76.818552,Local,Shore Protection,90000.00,1276586.00,10710000.00,0.77,13873056.99,8.39,14.18
Robert Moses State Park,NY,2002,40.620728,-73.280182,Federal,Navigation,0.00,164794.00,1509176.00,0.77,1954891.19,9.16,#DIV/0!
Rockaway Beach,NY,2002,40.585221,-73.806914,Federal,Navigation,0.00,141900.00,1568703.00,0.77,2031998.70,11.05,#DIV/0!
Rollover Pass,TX,2002,29.507633,-94.498773,Federal,Unknown,0.00,118743.00,1162966.00,0.77,1506432.64,9.79,#DIV/0!
Sandy Hook,NJ,2002,40.455046,-73.989172,Federal,Shore Protection,0.00,252434.00,0.00,0.77,0.00,0.00,#DIV/0!
Sandy Hook to Barnegat Inlet: Sea Bright to Monmouth,NJ,2002,40.346152,-73.973207,Federal,Shore Protection,0.00,2100000.00,0.00,0.77,0.00,0.00,#DIV/0!
"South Jetty, Grays Harbor",WA,2002,46.902453,-124.12876,Unknown,Unknown,0.00,135000.00,0.00,0.77,0.00,0.00,#DIV/0!
South Padre Island (4 miles north of Brazos Santiago Pass),TX,2002,26.074415,-97.156842,Federal,Navigation,3780.00,348000.00,239865.00,0.77,310705.96,0.69,92.06
Virginia Beach,VA,2002,36.853733,-75.975094,Federal,Shore Protection,31923.00,3200000.00,100700000.00,0.77,130440414.51,31.47,100.24
Wrightsville Beach,NC,2002,34.207242,-77.793460,Federal,Shore Protection,0.00,1250000.00,4600000.00,0.77,5958549.22,3.68,0.00
Avalon,NJ,2003,39.098428,-74.711459,Federal,Shore Protection,6260.00,1300000.00,0.00,0.79,0.00,0.00,207.67
Brevard County: South Reach/Indialantic,FL,2003,28.080008,-80.560856,Federal,Shore Protection,4962.00,324000.00,1900107.00,0.79,2405198.73,5.86,65.30
Cape May Inlet to Lower Township,NJ,2003,38.941653,-74.883331,Federal,Shore Protection,0.00,267000.00,2435000.00,0.79,3082278.48,9.12,#DIV/0!
Caplen Beach,TX,2003,29.65468,-95.008199,Federal,Shore Protection,6500.00,100000.00,573747.00,0.79,726262.03,5.74,15.38
Dam Neck Naval Base,VA,2003,36.78248,-75.957069,Federal,Shore Protection,9200.00,700000.00,0.00,0.79,0.00,0.00,76.09
Duval County: Jacksonville Beach,FL,2003,30.285688,-81.387652,Federal,Shore Protection,1000.00,0.00,3000000.00,0.79,3797468.35,#DIV/0!,0.00
Emerald Isle,NC,2003,34.673133,-76.966696,Local,Shore Protection,31111.00,1810000.00,11800000.00,0.79,14936708.86,6.52,58.18
Emerald Isle Point,NC,2003,34.645027,-77.097867,Federal,Navigation,0.00,59000.00,0.00,0.79,0.00,0.00,#DIV/0!
Escambia County: Pensacola Beach,FL,2003,30.331602,-87.136892,Federal,Shore Protection,42768.00,4248300.00,20000000.00,0.79,25316455.70,4.71,99.33
Figure Eight Island - South End,NC,2003,34.252534,-77.758791,Private,Navigation,0.00,90000.00,495000.00,0.79,626582.28,5.50,#DIV/0!
Galveston Island (West end of seawall),TX,2003,29.266784,-94.824929,State,Navigation,1500.00,80000.00,0.00,0.79,0.00,0.00,53.33
Gilchrist East Subdivision,TX,2003,29.510396,-94.491777,Unknown,Unknown,1400.00,104000.00,0.00,0.79,0.00,0.00,74.29
Gulf Shores,AL,2003,30.244832,-87.698708,Federal,Emergency,17424.00,700000.00,2400000.00,0.79,3037974.68,3.43,40.17
Hatteras Island,NC,2003,35.218768,-75.662627,Federal,Emergency,1500.00,442600.00,6200000.00,0.79,7848101.27,14.01,295.07
Holly Beach,LA,2003,29.763781,-93.534164,Federal,Unknown,27456.00,1700000.00,12400000.00,0.79,15696202.53,7.29,61.92
Hunting Island,SC,2003,32.362554,-80.441927,State,Unknown,2640.00,230181.00,2480250.00,0.79,3139556.96,10.78,87.19
Indian River County: Ambersand Beach,FL,2003,27.835129,-80.43417,State,Unknown,13200.00,589350.00,0.00,0.79,0.00,0.00,44.65
Indianola Beach (Calhoun County),TX,2003,28.512133,-96.486944,State,Shore Protection,3000.00,0.00,2250096.00,0.79,2848222.78,#DIV/0!,0.00
Keansburg,NJ,2003,40.449103,-74.121923,State,Navigation,0.00,30000.00,0.00,0.79,0.00,0.00,#DIV/0!
Manatee County/Sarasota County: Longboat Key,FL,2003,27.411776,-82.660484,Unknown,Unknown,5808.00,99800.00,0.00,0.79,0.00,0.00,17.18
McFaddin Dune Restoration,TX,2003,28.169627,-96.71284,State,Shore Protection,2000.00,8000.00,192858.00,0.79,244124.05,24.11,4.00
McGee Beach (Corpus Christi Bay),TX,2003,27.662473,-97.175703,State,Unknown,0.00,0.00,802578.00,0.79,1015921.52,#DIV/0!,#DIV/0!
North Indian River Inlet,DE,2003,38.606274,-75.061169,Federal,Section 111,3500.00,100000.00,0.00,0.79,0.00,0.00,28.57
Palm Beach County: Mid-town Beach ,FL,2003,26.714468,-80.033062,Unknown,Unknown,13200.00,1400000.00,0.00,0.79,0.00,0.00,106.06
Palm Beach County: Palm Beach,FL,2003,26.705425,-80.032884,State,Unknown,13200.00,1200000.00,4400000.00,0.79,5569620.25,3.67,90.91
Pea Island,NC,2003,35.727144,-75.496674,Federal,Navigation,0.00,1029543.00,3860786.00,0.79,4887070.89,3.75,0.00
Quintana Dune Restoration,TX,2003,28.933641,-95.301011,State,Unknown,1500.00,0.00,0.00,0.79,0.00,0.00,0.00
Rockport Beach (Aransas County),TX,2003,28.029306,-97.040584,State,Unknown,2400.00,0.00,1200734.00,0.79,1519916.46,#DIV/0!,0.00
Rollover Pass,TX,2003,29.507633,-94.498773,Federal,Unknown,0.00,104176.00,1201664.00,0.79,1521093.67,11.53,#DIV/0!
Sandbridge,VA,2003,36.745865,-75.943615,Federal,Shore Protection,26400.00,2000000.00,10000000.00,0.79,12658227.85,5.00,75.76
Sarasota County: Lido Key,FL,2003,27.31009,-82.576313,Unknown,Unknown,6178.00,125000.00,0.00,0.79,0.00,0.00,20.23
Sarasota County: Sarasota/Lido Key,FL,2003,27.309172,-82.575474,Unknown,Unknown,6177.60,125000.00,0.00,0.79,0.00,0.00,20.23
Sarasota County: Sarasota/Longboat Key New Pass Maintenance Dredge,FL,2003,27.411776,-82.660575,Unknown,Unknown,5808.00,99800.00,0.00,0.79,0.00,0.00,17.18
